estado_sht,clave_sht,glg_andesita,glg_conglomerado,glg_volcanoclastico,glg_n_a,glg_aluvial,glg_brecha_sedimentaria,glg_dacita,glg_brecha_volcanica_basica,glg_brecha_volcanica_intermedia,glg_lacustre,glg_toba_basica,glg_basalto,glg_basalto_brecha_volcanica_basica,glg_toba_basica_brecha_volcanica_basica,glg_arenisca_conglomerado,glg_toba_intermedia,glg_caliza,glg_lutita_arenisca,glg_caliza_lutita,glg_metasedimentaria,glg_porfido_riolitico,glg_travertino,glg_toba_acida,glg_basalto_toba_basica,suelo1_feozem,suelo1_luvisol,suelo1_andosol,suelo1_n_a,suelo1_vertisol,suelo1_fluvisol,suelo1_planosol,suelo1_litosol,suelo1_regosol,suelo1_cambisol,suelo1_solonchak,suelo1_histosol,suelo1_gleysol,suelo1_acrisol,suelo1_rendzina,suelo1_castanozem,suelo2_andosol,suelo2_feozem,suelo2_litosol,suelo2_vertisol,suelo2_n_a,suelo2_planosol,suelo2_luvisol,suelo2_ninguno,suelo2_gleysol,suelo2_fluvisol,suelo2_cambisol,suelo2_solonchak,suelo2_histosol,suelo2_regosol,suelo2_rendzina,suelo2_acrisol,suelo2_chernozem,suelo2_castanozem,usv_10101040104,usv_20201010400,usv_20201020600,usv_21302030300,usv_10101040103,usv_10102040104,usv_30000000031,usv_20105010400,usv_20202010400,usv_10101010304,usv_20105020600,usv_30000000032,usv_20104010400,usv_20201010500,usv_10102040102,usv_20103010400,usv_20105020500,usv_20906010400,usv_10102040204,usv_20103020600,usv_20104020600,usv_10301030304,usv_10201040304,usv_20103020500,usv_10103040104,usv_20104020500,usv_30000000030,usv_20202020500,usv_21007030400,usv_21201030300,usv_20802010400,usv_20202020600,usv_20907010400,usv_20301010400,usv_20602020600,usv_20602020500,usv_20301020600,usv_20905010400,usv_20301020500,usv_21301030300,usv_20602010400,usv_10102040103,usv_20106020500,usv_20106020600,usv_21002010400,usv_20804010400,slope_min,slope_max,slope_median,slope_mean,slope_sd
Estado de Mexico,E-003,992.9183303902839,498.74237024506334,60.608750422224034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1549.1010455165247,3.1684055411045673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376.88892783077824,3.1684055411045673,602.2604023119364,569.9517153738101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.57860597624105,216.6830944428755,229.19075078975717,858.8169998487651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.416325787122879,11.95507246845074,5.38813434624817,5.559807502925004,2.897416016599029
Estado de Mexico,E-002,1357.0761495485078,0,1571.7819691815225,29.547429423279688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1355.7278151256883,574.0461275608494,91.98896542924065,35.94670403829677,900.6959359994045,0,0,0,0,0,0,0,0,0,0,0,1233.725688455736,666.0350929900901,0.47101460897121583,121.53111206098106,35.94670403829677,900.6959359994045,0,0,0,0,0,0,0,0,0,0,0,0,571.8816811505302,895.81120044012,250.0360302304203,206.03344194139333,169.27173379230985,834.6320083195085,30.739452279225926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27229793577292,12.476709796822423,3.641695339681181,4.149684950434635,3.1378527127942504
Estado de Mexico,E-006,784.4610601356001,9.92332088603049,248.9177757889637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.21632649449157,367.13350578223356,404.9523245339513,0,0,0,0,0,0,0,0,0,0,0,0,0,175.26828408802217,772.0858303161849,8.523973596910107,87.42406880955929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284.48883951195637,424.23161196215153,212.9062640298335,49.56055099612223,0,72.11489031064212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40648355660692,12.130077738462,5.969554977616778,6.419207741887866,2.874803281067051
Estado de Mexico,E-004,26.844140293920415,395.9710277710505,252.55017849081844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367.76579537120466,253.96712045072317,53.6324307338629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307.59955118458606,367.76579537120466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.23602000909415,0,256.217028030381,328.66409499355086,0,0,0,3.093310707139224,64.15489281566478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3158539071671074,10.208318940908011,2.5014965518877865,3.6393811922452204,2.6147669980244608
Estado de Mexico,E-005,319.2517311319504,92.04278620134109,200.5321499867482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.271784022290744,249.3119274926007,353.2429558051262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602.5548832977269,9.271784022290744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.978880013118126,96.41181321408935,254.92098432056443,27.560423429725752,0,0,0,86.9345992661599,142.01996707635084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4497997748553273,14.674325510606433,7.229348352791211,7.0204932082885385,3.0587909290060993
Estado de Mexico,E-007,731.1131114512996,0,0,0,26.011934157225863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.88342250207738,0,671.2416231064395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671.2416231064395,0,85.88342250207738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.026040056549384,292.9977192606893,0,0,0,0,0,259.66430557682565,165.4369807144486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0597054331255005,11.333609248510573,5.71575841842444,5.955586467093718,1.9685318508451892
Estado de Mexico,E-008,1962.2610862162994,0,110.48272184478758,0,0,2.6236730281081053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.910193051041476,2.6722650833666326,2058.7850229547776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1854.7144351951256,13.910193051041476,0,0,0,206.74285284301862,0,0,0,0,0,0,0,0,0,0,0,101.16851632930013,152.78825570686507,27.262670269260372,0,616.6345307708111,0,0,904.5729677894028,272.94054022346177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5591120482280965,12.978609114362685,5.9233333047802486,6.074476324194727,2.5041525931347173
Estado de Mexico,E-010,0,0,2141.950406521863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678.011969026318,452.2509607603036,0,11.687476735086275,0,0,0,0,0,0,0,0,0,0,0,0,3.592820711807907,448.6581400484957,1678.011969026318,0,11.687476735086275,0,0,0,0,0,0,0,0,0,0,0,0,0,19.876636826183532,0,795.4257738671582,850.1614617721281,0,0,10.11311523789065,231.2508808241321,110.5532856024895,124.56925239193876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4490794450957929,3.8017934916917957,1.940910803581097,2.0221034926033834,0.6766027555357176
Estado de Mexico,E-001,1811.928252302729,0,906.8692131543474,0,277.32276039094256,8.728197570062662,1.3718697919587257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945.9909696738447,591.3356789591431,1046.4640523655942,22.036129940486152,400.393462271009,0,0,0,0,0,0,0,0,0,0,0,154.36419847293647,1138.3564661320486,0,683.1299850654141,22.036129940486152,400.393462271009,108.4967861354941,499.44326519268867,0,0,0,0,0,0,0,0,0,0,660.3896131697599,483.77403354913554,334.24767451691025,66.27002248796768,66.46386346556172,619.2032462365765,22.561387224265935,460.2086181821462,258.66538939171136,0,34.43644498633398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24657660222712263,11.967802472835418,3.9338762598082475,4.383363814587145,2.9719199445819964
Estado de Mexico,E-011,0,0,1345.382345516259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.87424134682715,994.7713962618998,0,13.736707907335461,0,0,0,0,0,0,0,0,0,0,0,0,5.262248614838039,521.2476652811442,336.87424134682715,0,13.736707907335461,0,0,468.26148236591746,0,0,0,0,0,0,0,0,0,0,0.16148625683300197,0,377.5846035661088,243.96682866717575,495.61262855264584,0,0,151.54032110649266,0,31.348260192706622,0,45.16821717412528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04305440000232277,3.848999945376103,1.9553515964034949,2.014452917544747,0.7820383207990717
