cvesht_edo,id_nano,alt_mean,alt_sd,densff_mean,densff_sd,prom_mean,prom_sd,slope_mean,slope_sd,glg_andesita,glg_toba_intermedia,glg_brecha_sedimentaria,glg_brecha_volcanica_basica,glg_toba_basica,glg_toba_basica_brecha_volcanica_basica,glg_aluvial,glg_basalto,glg_basalto_toba_basica,glg_volcanoclastico,glg_caliza,glg_conglomerado,glg_n_a,glg_dacita,glg_brecha_volcanica_intermedia,glg_lacustre,glg_basalto_brecha_volcanica_basica,glg_arenisca_conglomerado,glg_lutita_arenisca,glg_caliza_lutita,glg_metasedimentaria,glg_porfido_riolitico,glg_travertino,glg_toba_acida,suelo1_andosol,suelo1_cambisol,suelo1_regosol,suelo1_feozem,suelo1_litosol,suelo1_n_a,suelo1_fluvisol,suelo1_luvisol,suelo1_vertisol,suelo1_planosol,suelo1_histosol,suelo1_acrisol,suelo1_rendzina,suelo1_casta_ozem,suelo1_castanozem,suelo1_gleysol,suelo1_solonchak,suelo2_cambisol,suelo2_litosol,suelo2_vertisol,suelo2_feozem,suelo2_regosol,suelo2_n_a,suelo2_ninguno,suelo2_fluvisol,suelo2_andosol,suelo2_planosol,suelo2_luvisol,suelo2_gleysol,suelo2_rendzina,suelo2_acrisol,suelo2_chernozem,suelo2_castanozem,suelo2_histosol,suelo2_solonchak,usv_us_ath,usv_vn_be_p,usv_vn_bo,usv_vn_bp,usv_vn_bp_e,usv_vs_be,usv_us_ah,usv_ic_pzi,usv_vn_dv,usv_vs_bp,usv_ic_bc,usv_vn_pam,usv_vs_bo,usv_vn_be,usv_us_ar,usv_vs_bp_e,usv_vn_sva,usv_vs_be_p,usv_vn_ca,usv_vn_mc,usv_ic_pc,usv_vn_tul,usv_vn_ms,usv_vn_bmm,usv_vs_sbc,usv_vs_bmm,usv_vn_mdr,usv_ic_pmi,usv_vn_sbc,usv_vn_bg,usv_vs_bt,usv_vn_ph,sueloinifap_andosol_humico,sueloinifap_cambisol_humico,sueloinifap_regosol_eutrico,sueloinifap_feozem_haplico,sueloinifap_litosol,sueloinifap_cambisol_eutrico,sueloinifap_regosol_districo,sueloinifap_fluvisol_districo,sueloinifap_fluvisol_eutrico,sueloinifap_andosol_molico,sueloinifap_feozem_luvico,sueloinifap_na,sueloinifap_rendzina,sueloinifap_luvisol_cromico,sueloinifap_vertisol_pelico,sueloinifap_andosol_ocrico,sueloinifap_planosol_eutrico,sueloinifap_vertisol_cromico,sueloinifap_planosol_molico,sueloinifap_luvisol_ortico,sueloinifap_regosol_calcarico,sueloinifap_cambisol_cromico,sueloinifap_feozem_gleyico,sueloinifap_histosol_eutrico,sueloinifap_acrisol_humico,sueloinifap_feozem_calcarico,sueloinifap_castanozem_calcico,sueloinifap_cambisol_calcico_calcarico,sueloinifap_castanosem_haplico,sueloinifap_gleysol_molico,sueloinifap_solonchak_gleyico,sueloinifap_solonchak_molico
P-006,1,2881.83121606,175.568833575,0.117066284176,0.0133708232882,905.980499268,7.07275724243,5.266569874425701,2.0954834939101543,632.9273325281214,780.7949415448322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375.66913744900745,1038.0531366239202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632.6064754183471,192.2119905015579,588.9038081530226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603.3771801035888,210.6682330140045,0.03327931521762612,78.11982643103985,455.86923157206974,65.65452363704645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352.82335261294054,1060.8989214598803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P-002,2,2702.51204868,158.542241766,0.124177367489,0.0234704763179,894.331760661,16.435228927,3.3053740678922883,1.925117450579089,83.21205549176238,1040.6567896341298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.84567476143875,782.316873891327,312.7062964731244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365.4915462582805,0,758.3772988676096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,965.1531188845806,0,0,38.48011249209079,55.35715341882573,0,64.87846033037977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.255662551288836,783.0043142981399,300.608868276446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E-141,3,3057.07470543,257.059313743,0.0497940073673,0.0401841550212,641.735354693,17.1538792675,5.26402504168197,2.6139021019473603,1347.6263225657967,0,749.4405871518087,0.6264190759189554,122.71093448971195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180.3589263004335,966.2256180202855,0,47.40363593309765,26.416083029311554,0,0,0,0,0,0,0,0,0,0,0,0,1890.8266260940509,303.1615541597658,0,26.416083029311554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494.03632017296377,0,383.58860792397064,477.00323610073684,232.24931050406482,409.1229686465451,0,44.97547584574033,23.505424263186942,155.92291982595327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220.0712983559856,943.5971480332146,0,24.178116385958337,32.557700508066894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E-142,4,3299.91097015,341.591415093,0.121164451609,0.0867116534338,657.705279541,30.6380929737,5.514419549511179,2.2524257645123487,2453.0538237690776,0,461.33377969511116,0,91.7540682284874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.49997146105954,2301.33900409597,0,248.56153358897177,218.74116254656573,0,0,0,0,0,0,0,0,0,0,0,0,2509.9395601305887,277.4609490154127,0,218.74116254656573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625.3138260440529,0,121.77811857510468,1972.2265337054432,41.46313156562835,64.58990666929657,0,180.7701551331542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.5803753413873,2022.8195908888288,0,247.1326529227718,238.00110488011475,239.60794765974637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E-151,5,2994.02754685,439.588770694,0.161577180835,0.095386332395,698.658275257,40.1026975298,7.950223235151279,4.13370105444099,901.0363049872518,0,382.24830973382825,0,2.0539107770450817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492.8170343073749,0,792.5214911907393,0,0,0,0,0,0,0,0,0,0,0,0,0,1199.9005612635906,80.09764773300179,0,0,5.340316501521729,0,0,0,0,0,0,0,0,0,0,0,0,0,368.07696700791786,0,203.23012123141808,527.1632603417731,0,109.03034832566784,0.07801266365099341,12.336732658150598,8.616425338052755,0,56.8066579314027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387.15521722138635,0,798.1434841211743,0,100.03982415557394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E-150,6,2875.76105636,398.772567763,0.158967434315,0.0946225026019,672.921410194,38.5547942702,6.6719202013771115,3.782765072817107,1541.9715859979901,0,762.493051371992,7.525750838648757,57.69547093169551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445.74672868683956,0,1923.939130453502,0,0,0,0,0,0,0,0,0,0,0,0,0,2132.029010927394,196.85970010353742,0,0,40.79714810940972,0,0,0,0,0,0,0,0,0,0,0,0,0,621.8612149447044,0,177.1914620394727,778.2213313326281,0,141.89208443030887,23.02715484346119,306.8083118973536,0,0,320.6842996523196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.4183634923641,0,1873.7199947994925,0,192.5475008484271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E-148,7,3327.86331077,413.206164675,0.227467612455,0.098607107898,661.241921818,51.2267707573,8.247741340795184,4.140956923096444,2883.0267277519993,0,110.97497781403864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2534.37712384964,0,459.62458171619875,0,0,0,0,0,0,0,0,0,0,0,0,0,1747.66653731873,1246.3351682471089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.826465709127067,105.13788729002276,75.51634100140573,1742.2532439018448,79.18632497169595,477.2565935760089,0,281.15496583872437,0,0,75.57896360868833,35.389194659246975,93.70172500923645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282.4628915731878,0,479.56893236029634,0,1231.9698816323726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E-143,8,2982.37136157,330.427557312,0.0680957000216,0.0628319541833,627.594886957,17.442972572,6.651759514853635,3.8377557237782938,1290.2141900770287,0,987.6620561760493,0,129.55219221040787,7.1644165126776285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.875456028116638,1063.3977406248596,0,1301.0957985025182,26.22385982046289,0,0,0,0,0,0,0,0,0,0,0,0,2388.3689951554943,0,0,26.22385982046289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671.5414537380975,187.33023259424888,0,557.9440258177771,0,142.31071980138873,0,815.8491926694503,39.61723035511642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.5275991215472,1028.0056598780623,0,1259.1943777686372,49.86521820776288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E-147,9,3416.89126527,303.681104592,0.230723628944,0.0712699899184,637.205272328,41.1168562142,9.596308055103256,3.7764278946976284,814.775587393418,0,41.92012046533491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845.8609754775728,0,10.83473238120868,0,0,0,0,0,0,0,0,0,0,0,0,0,576.5279293334617,280.16777852531976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.249713081380722,0,375.8912437273962,266.5033364588231,66.78876150288497,1.947002161564157,0,122.31565092664675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575.4137653386138,0,20.73763785719299,0,260.5443046629817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E-146,10,3363.23269775,344.277134967,0.232075887683,0.0741656042513,644.448155453,46.8694841029,9.08549188305617,3.0055414110686303,590.9317762573256,0,73.32296806585963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637.9272624961131,0,26.327481827223778,0,0,0,0,0,0,0,0,0,0,0,0,0,524.2822024778745,139.97254184546244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.060807937311864,0,280.4562520401527,91.82874794365351,97.91070208949657,14.276812410465807,0,140.9688768464409,0,0,0,13.752545055732911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503.75423738316914,0,37.682677520703614,0,122.81782941943999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
